phase,language,cue_type,word,expected,rank,topk,resonance_expected,margin,success
3,JP,prefix,ひかり,ひかり,1,"['ひかり', 'ひ', 'ひと', 'たかい', 'でる']",0.0,0.0,True
3,JP,prefix,みず,みず,1,"['みず', 'みる', 'mountain', 'sea', 'exit']",0.0,0.0,True
3,JP,prefix,ひ,ひ,1,"['ひ', 'ひと', 'ひかり', 'few', 'water']",0.0,0.0,True
3,JP,prefix,つき,つき,1,"['つき', 'water', 'ひと', 'eat', 'early']",0.0,0.0,True
3,JP,prefix,そら,そら,1,"['そら', 'small', 'fire', 'come', 'life']",0.0,0.0,True
3,JP,prefix,やま,やま,1,"['やま', 'はいる', 'いく', 'みず', 'exit']",0.0,0.0,True
3,JP,prefix,かわ,かわ,1,"['かわ', 'down', 'come', 'old', 'moon']",0.0,0.0,True
3,JP,prefix,うみ,うみ,1,"['うみ', 'うえ', 'かわ', 'おおきい', 'くる']",0.0,0.0,True
3,JP,prefix,ひと,ひと,1,"['ひと', 'ひ', 'ひかり', 'つき', 'few']",0.0,0.0,True
3,JP,prefix,こども,こども,1,"['こども', 'moon', 'high', 'small', 'sky']",0.0,0.0,True
3,JP,prefix,べんきょう,べんきょう,1,"['べんきょう', 'でる', 'こども', 'くる', 'exit']",0.0,0.0,True
3,JP,prefix,いのち,いのち,1,"['いのち', 'いく', 'child', 'した', 'high']",0.0,0.0,True
3,JP,prefix,たべる,たべる,1,"['たべる', 'たかい', 'かわ', 'ひ', 'ながい']",0.0,0.0,True
3,JP,prefix,のむ,のむ,1,"['のむ', 'down', 'うえ', 'light', 'した']",0.0,0.0,True
3,JP,prefix,みる,みる,1,"['みる', 'みず', 'ふるい', 'くる', 'でる']",0.0,0.0,True
3,JP,prefix,いく,いく,1,"['いく', 'すくない', 'いのち', 'life', 'eat']",0.0,0.0,True
3,JP,prefix,くる,くる,1,"['くる', 'でる', 'みる', 'ふるい', 'いのち']",0.0,0.0,True
3,JP,prefix,はいる,はいる,1,"['はいる', 'はやい', 'ちいさい', 'すくない', 'やま']",0.0,0.0,True
3,JP,prefix,でる,でる,1,"['でる', 'くる', 'ふるい', 'みる', 'study']",0.0,0.0,True
3,JP,prefix,おおきい,おおきい,2,"['おおい', 'おおきい', 'high', 'うみ', 'すくない']",0.0,0.0,True
3,JP,prefix,ちいさい,ちいさい,1,"['ちいさい', 'はいる', 'eat', 'ひ', 'おおきい']",0.0,0.0,True
3,JP,prefix,ながい,ながい,1,"['ながい', 'つき', 'moon', 'ひと', 'person']",0.0,0.0,True
3,JP,prefix,たかい,たかい,1,"['たかい', 'たべる', 'ひかり', 'こども', 'drink']",0.0,0.0,True
3,JP,prefix,あたらしい,あたらしい,1,"['あたらしい', 'した', 'child', 'eat', 'down']",0.0,0.0,True
3,JP,prefix,ふるい,ふるい,1,"['ふるい', 'くる', 'みる', 'でる', 'うみ']",0.0,0.0,True
3,JP,prefix,はやい,はやい,1,"['はやい', 'はいる', 'life', 'ひ', 'fire']",0.0,0.0,True
3,JP,prefix,おおい,おおい,1,"['おおい', 'おおきい', 'high', 'うみ', 'すくない']",0.0,0.0,True
3,JP,prefix,すくない,すくない,1,"['すくない', 'いく', 'few', 'fire', 'いのち']",0.0,0.0,True
3,JP,prefix,うえ,うえ,1,"['うえ', 'うみ', 'くる', 'early', 'いのち']",0.0,0.0,True
3,JP,prefix,した,した,1,"['した', 'あたらしい', 'water', 'eat', 'down']",0.0,0.0,True
3,EN,prefix,light,light,2,"['life', 'light', 'high', 'river', 'big']",0.0,0.0,True
3,EN,prefix,water,water,1,"['water', 'many', 'eat', 'early', 'drink']",0.0,0.0,True
3,EN,prefix,fire,fire,1,"['fire', 'big', 'high', 'life', 'light']",0.0,0.0,True
3,EN,prefix,moon,moon,1,"['moon', 'go', 'mountain', 'long', 'many']",0.0,0.0,True
3,EN,prefix,sky,sky,1,"['sky', 'sea', 'see', 'study', 'small']",0.0,0.0,True
3,EN,prefix,mountain,mountain,3,"['moon', 'go', 'mountain', 'long', 'many']",0.0,0.0,True
3,EN,prefix,river,river,1,"['river', 'big', 'life', 'fire', 'light']",0.0,0.0,True
3,EN,prefix,sea,sea,2,"['see', 'sea', 'new', 'person', 'sky']",0.0,0.0,True
3,EN,prefix,person,person,1,"['person', 'sea', 'see', 'new', 'few']",0.0,0.0,True
3,EN,prefix,child,child,1,"['child', 'come', 'した', 'many', 'high']",0.0,0.0,True
3,EN,prefix,study,study,1,"['study', 'sea', 'see', 'small', 'sky']",0.0,0.0,True
3,EN,prefix,life,life,1,"['life', 'light', 'high', 'river', 'big']",0.0,0.0,True
3,EN,prefix,eat,eat,1,"['eat', 'early', 'many', 'enter', 'exit']",0.0,0.0,True
3,EN,prefix,drink,drink,1,"['drink', 'down', 'up', 'many', 'くる']",0.0,0.0,True
3,EN,prefix,see,see,1,"['see', 'sea', 'new', 'person', 'sky']",0.0,0.0,True
3,EN,prefix,go,go,1,"['go', 'moon', 'down', 'come', 'long']",0.0,0.0,True
3,EN,prefix,come,come,1,"['come', 'go', 'moon', 'long', 'down']",0.0,0.0,True
3,EN,prefix,enter,enter,1,"['enter', 'early', 'exit', 'eat', 'べんきょう']",0.0,0.0,True
3,EN,prefix,exit,exit,1,"['exit', 'eat', 'early', 'enter', 'おおい']",0.0,0.0,True
3,EN,prefix,big,big,1,"['big', 'life', 'high', 'light', 'river']",0.0,0.0,True
3,EN,prefix,small,small,1,"['small', 'sea', 'see', 'study', 'sky']",0.0,0.0,True
3,EN,prefix,long,long,1,"['long', 'go', 'moon', 'come', 'down']",0.0,0.0,True
3,EN,prefix,high,high,1,"['high', 'life', 'big', 'light', 'river']",0.0,0.0,True
3,EN,prefix,new,new,1,"['new', 'sea', 'see', 'person', 'few']",0.0,0.0,True
3,EN,prefix,old,old,1,"['old', 'いく', 'child', 'few', 'eat']",0.0,0.0,True
3,EN,prefix,early,early,2,"['eat', 'early', 'many', 'enter', 'exit']",0.0,0.0,True
3,EN,prefix,many,many,1,"['many', 'eat', 'moon', 'early', 'うえ']",0.0,0.0,True
3,EN,prefix,few,few,1,"['few', 'see', 'new', 'fire', 'sea']",0.0,0.0,True
3,EN,prefix,up,up,1,"['up', 'small', 'enter', 'drink', 'くる']",0.0,0.0,True
3,EN,prefix,down,down,1,"['down', 'go', 'moon', 'long', 'come']",0.0,0.0,True
4,JP,semantic,ひかり,ひかり,1,"['ひかり', 'light', 'はいる', 'old', 'つき']",0.0,0.0,True
4,JP,semantic,みず,みず,1,"['みず', 'water', 'ながい', 'up', 'see']",0.0,0.0,True
4,JP,semantic,ひ,ひ,1,"['ひ', 'fire', 'long', 'ちいさい', 'いのち']",0.0,0.0,True
4,JP,semantic,つき,つき,2,"['moon', 'つき', 'high', 'たべる', 'みる']",0.0,0.0,True
4,JP,semantic,そら,そら,1,"['そら', 'sky', 'でる', 'ひ', 'おおい']",0.0,0.0,True
4,JP,semantic,やま,やま,1,"['やま', 'mountain', 'big', 'few', 'たかい']",0.0,0.0,True
4,JP,semantic,かわ,かわ,1,"['かわ', 'river', 'long', 'こども', 'high']",0.0,0.0,True
4,JP,semantic,うみ,うみ,2,"['sea', 'うみ', 'enter', 'べんきょう', 'ひと']",0.0,0.0,True
4,JP,semantic,ひと,ひと,2,"['person', 'ひと', 'mountain', 'おおい', 'うみ']",0.0,0.0,True
4,JP,semantic,こども,こども,2,"['child', 'こども', 'river', 'person', 'sky']",0.0,0.0,True
4,JP,semantic,べんきょう,べんきょう,2,"['study', 'べんきょう', 'たかい', 'few', 'でる']",0.0,0.0,True
4,JP,semantic,いのち,いのち,1,"['いのち', 'life', 'many', 'おおい', 'すくない']",0.0,0.0,True
4,JP,semantic,たべる,たべる,1,"['たべる', 'eat', 'moon', 'person', 'つき']",0.0,0.0,True
4,JP,semantic,のむ,のむ,1,"['のむ', 'drink', 'した', 'see', 'long']",0.0,0.0,True
4,JP,semantic,みる,みる,1,"['みる', 'see', 'small', 'sea', 'つき']",0.0,0.0,True
4,JP,semantic,いく,いく,2,"['go', 'いく', 'water', 'やま', 'かわ']",0.0,0.0,True
4,JP,semantic,くる,くる,1,"['くる', 'come', 'すくない', 'light', 'eat']",0.0,0.0,True
4,JP,semantic,はいる,はいる,1,"['はいる', 'enter', 'たべる', 'やま', 'up']",0.0,0.0,True
4,JP,semantic,でる,でる,2,"['exit', 'でる', 'many', 'おおい', 'ふるい']",0.0,0.0,True
4,JP,semantic,おおきい,おおきい,1,"['おおきい', 'big', 'はいる', 'mountain', 'たかい']",0.0,0.0,True
4,JP,semantic,ちいさい,ちいさい,1,"['ちいさい', 'small', 'go', 'みる', 'see']",0.0,0.0,True
4,JP,semantic,ながい,ながい,2,"['long', 'ながい', 'ひ', 'ちいさい', 'river']",0.0,0.0,True
4,JP,semantic,たかい,たかい,1,"['たかい', 'high', 'study', 'べんきょう', 'そら']",0.0,0.0,True
4,JP,semantic,あたらしい,あたらしい,1,"['あたらしい', 'new', 'few', 'すくない', 'early']",0.0,0.0,True
4,JP,semantic,ふるい,ふるい,1,"['ふるい', 'old', 'sea', 'みず', 'みる']",0.0,0.0,True
4,JP,semantic,はやい,はやい,2,"['early', 'はやい', 'new', 'person', 'いく']",0.0,0.0,True
4,JP,semantic,おおい,おおい,1,"['おおい', 'many', 'こども', 'up', 'new']",0.0,0.0,True
4,JP,semantic,すくない,すくない,1,"['すくない', 'few', 'べんきょう', 'new', 'あたらしい']",0.0,0.0,True
4,JP,semantic,うえ,うえ,2,"['up', 'うえ', 'enter', 'おおきい', 'みず']",0.0,0.0,True
4,JP,semantic,した,した,1,"['した', 'down', 'mountain', 'small', 'big']",0.0,0.0,True
4,EN,semantic,light,light,2,"['ひかり', 'light', 'はいる', 'old', 'つき']",0.0,0.0,True
4,EN,semantic,water,water,2,"['みず', 'water', 'ながい', 'up', 'see']",0.0,0.0,True
4,EN,semantic,fire,fire,2,"['ひ', 'fire', 'long', 'ちいさい', 'いのち']",0.0,0.0,True
4,EN,semantic,moon,moon,1,"['moon', 'つき', 'high', 'たべる', 'みる']",0.0,0.0,True
4,EN,semantic,sky,sky,2,"['そら', 'sky', 'でる', 'ひ', 'おおい']",0.0,0.0,True
4,EN,semantic,mountain,mountain,2,"['やま', 'mountain', 'big', 'few', 'たかい']",0.0,0.0,True
4,EN,semantic,river,river,2,"['かわ', 'river', 'long', 'こども', 'high']",0.0,0.0,True
4,EN,semantic,sea,sea,1,"['sea', 'うみ', 'enter', 'べんきょう', 'ひと']",0.0,0.0,True
4,EN,semantic,person,person,1,"['person', 'ひと', 'mountain', 'おおい', 'うみ']",0.0,0.0,True
4,EN,semantic,child,child,1,"['child', 'こども', 'river', 'person', 'sky']",0.0,0.0,True
4,EN,semantic,study,study,1,"['study', 'べんきょう', 'たかい', 'few', 'でる']",0.0,0.0,True
4,EN,semantic,life,life,2,"['いのち', 'life', 'many', 'おおい', 'すくない']",0.0,0.0,True
4,EN,semantic,eat,eat,2,"['たべる', 'eat', 'moon', 'person', 'つき']",0.0,0.0,True
4,EN,semantic,drink,drink,2,"['のむ', 'drink', 'した', 'see', 'long']",0.0,0.0,True
4,EN,semantic,see,see,2,"['みる', 'see', 'small', 'sea', 'つき']",0.0,0.0,True
4,EN,semantic,go,go,1,"['go', 'いく', 'water', 'やま', 'かわ']",0.0,0.0,True
4,EN,semantic,come,come,2,"['くる', 'come', 'すくない', 'light', 'eat']",0.0,0.0,True
4,EN,semantic,enter,enter,2,"['はいる', 'enter', 'たべる', 'やま', 'up']",0.0,0.0,True
4,EN,semantic,exit,exit,1,"['exit', 'でる', 'many', 'おおい', 'ふるい']",0.0,0.0,True
4,EN,semantic,big,big,2,"['おおきい', 'big', 'はいる', 'mountain', 'たかい']",0.0,0.0,True
4,EN,semantic,small,small,2,"['ちいさい', 'small', 'go', 'みる', 'see']",0.0,0.0,True
4,EN,semantic,long,long,1,"['long', 'ながい', 'ひ', 'ちいさい', 'river']",0.0,0.0,True
4,EN,semantic,high,high,2,"['たかい', 'high', 'study', 'べんきょう', 'そら']",0.0,0.0,True
4,EN,semantic,new,new,2,"['あたらしい', 'new', 'few', 'すくない', 'early']",0.0,0.0,True
4,EN,semantic,old,old,2,"['ふるい', 'old', 'sea', 'みず', 'みる']",0.0,0.0,True
4,EN,semantic,early,early,1,"['early', 'はやい', 'new', 'person', 'いく']",0.0,0.0,True
4,EN,semantic,many,many,2,"['おおい', 'many', 'こども', 'up', 'new']",0.0,0.0,True
4,EN,semantic,few,few,2,"['すくない', 'few', 'べんきょう', 'new', 'あたらしい']",0.0,0.0,True
4,EN,semantic,up,up,1,"['up', 'うえ', 'enter', 'おおきい', 'みず']",0.0,0.0,True
4,EN,semantic,down,down,2,"['した', 'down', 'mountain', 'small', 'big']",0.0,0.0,True
5,JP,fusion,ひかり,ひかり,1,"['ひかり', 'light', 'ひ', 'ひと', 'たかい']",0.0,0.0,True
5,JP,fusion,みず,みず,1,"['みず', 'water', 'みる', 'sea', 'see']",0.0,0.0,True
5,JP,fusion,ひ,ひ,1,"['ひ', 'fire', 'ひと', 'ひかり', 'long']",0.0,0.0,True
5,JP,fusion,つき,つき,1,"['つき', 'moon', 'たべる', 'down', 'eat']",0.0,0.0,True
